key,key:booking,key:passenger
booking-record-01,booking-01,passenger-01
booking-record-02,booking-01,passenger-02
booking-record-03,booking-01,passenger-03
booking-record-04,booking-02,passenger-04
booking-record-05,booking-02,passenger-05
booking-record-06,booking-02,passenger-06
booking-record-07,booking-03,passenger-07
booking-record-08,booking-03,passenger-08
booking-record-09,booking-03,passenger-09
booking-record-10,booking-03,passenger-10
booking-record-11,booking-04,passenger-11
booking-record-12,booking-05,passenger-12
booking-record-13,booking-05,passenger-13
booking-record-14,booking-06,passenger-14
booking-record-15,booking-07,passenger-15
booking-record-16,booking-08,passenger-16
booking-record-17,booking-08,passenger-17
booking-record-18,booking-09,passenger-18
booking-record-19,booking-09,passenger-19
booking-record-20,booking-09,passenger-20
booking-record-21,booking-09,passenger-21
